ONTOLOGY,ID,Description,Fold_Enrichment_Score,Count,pvalue,p.adjust,geneID
BP,GO:0006661,phosphatidylinositol biosynthetic process,3.8473691441132023,12,6.831030626203785e-5,0.010292086143480369,PIGB/MTMR3/PLEKHA1/PIK3CA/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/INPPL1/MTM1/PIGN
BP,GO:0007050,cell cycle arrest,2.824650764032478,18,7.851192799555798e-5,0.01140666153878321,BAX/CDK6/PRKAG2/TGFBR1/ING4/CNOT6/CDKN1A/CDK4/CNOT11/PRKAA2/CDK5/CRADD/TRIAP1/CRLF3/PIDD1/CNOT10/CNOT7/KLLN
BP,GO:0034199,activation of protein kinase A activity,10.330898627711377,5,8.831104274624768e-5,0.012387907651439158,PRKAR2A/ADCY7/ADCY9/PRRC1/ADCY1
CC,GO:1902554,serine/threonine protein kinase complex,4.384673545632449,10,9.246742042775027e-5,0.008029254340476315,CDK6/TGFBR1/GTF2H1/CCND3/ACVR2B/CDKN1A/MAP3K7/CDK4/CCNB3/CDK5
BP,GO:0006644,phospholipid metabolic process,2.2487723524506626,26,1.1146761421152381e-4,0.015115008487082629,PIGB/CSNK2A2/DDHD2/LPCAT2/PLA2G3/MTMR3/DDHD1/IMPAD1/PLEKHA1/PTPMT1/PLCD4/GNPAT/PIK3CA/LPGAT1/LPIN3/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/SGMS2/INPPL1/MTM1/FITM2/PIGN/CSNK2B
BP,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,3.570358565737052,12,1.4071720847208717e-4,0.01775638437520782,BAX/CDK6/CNOT6/CDKN1A/CDK4/CNOT11/PRMT2/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0072401,signal transduction involved in DNA integrity checkpoint,4.585220760792447,9,1.4404146617056493e-4,0.01775638437520782,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0072422,signal transduction involved in DNA damage checkpoint,4.585220760792447,9,1.4404146617056493e-4,0.01775638437520782,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0030104,water homeostasis,4.523258318079035,9,1.601440324091941e-4,0.018613312109731474,CYP26B1/MET/PRKAR2A/ADCY7/ANXA7/ADCY9/CLDN1/ADCY1/GBA
BP,GO:0072395,signal transduction involved in cell cycle checkpoint,4.523258318079035,9,1.601440324091941e-4,0.018613312109731474,BAX/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0048193,Golgi vesicle transport,2.3244521912350598,23,1.6978204178281622e-4,0.019185370721458234,SNX1/DDHD2/KIF16B/GOLGA3/ARFRP1/COPE/EXOC2/CAPZA1/TMED5/ARL1/VAMP7/MYO1B/RBSN/DCTN4/KIF13A/TEX261/NBAS/TRAPPC8/TRAPPC12/MCFD2/MYO18A/MYO5A/PDCD6
CC,GO:0031519,PcG protein complex,5.746721072573593,7,1.9306994007132445e-4,0.014369919825308577,CSNK2A2/RBBP7/ASXL2/RBBP4/RYBP/CBX6/CSNK2B
BP,GO:0000045,autophagosome assembly,3.9990575333076297,10,1.9803671556392234e-4,0.02177333402470368,VMP1/RAB7A/MTMR3/STX12/PIP4K2A/TRAPPC8/GABARAP/MTM1/NUPR1/ATG9B
BP,GO:1902807,negative regulation of cell cycle G1/S phase transition,3.406830692497187,12,2.1922510754733115e-4,0.023468624671119556,BAX/CDK6/CNOT6/CDKN1A/CDK4/CNOT11/PRMT2/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0046058,cAMP metabolic process,8.452553422672946,5,2.4832921085411725e-4,0.025902646916783307,PDE8A/ADCY7/ADCY9/ADCY1/PDE4B
BP,GO:0046488,phosphatidylinositol metabolic process,2.9923982231991575,14,2.656855513625678e-4,0.027020220573573145,PIGB/MTMR3/IMPAD1/PLEKHA1/PLCD4/PIK3CA/DPM2/MTMR6/MTMR12/PIP4K2A/CDS1/INPPL1/MTM1/PIGN
BP,GO:0044773,mitotic DNA damage checkpoint,3.8341479443052533,10,2.8019807210215216e-4,0.027801116031989145,BAX/CNOT6/CDKN1A/TAOK3/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0016197,endosomal transport,2.6565167899829256,16,3.859902491975801e-4,0.03738591270799419,ALS2/SNX1/AP5M1/RAB7A/ARFRP1/EEA1/NDRG4/EHD4/ANKRD27/SNX4/VAMP4/ARL1/HEATR5A/RBSN/VPS4A/CHMP1B
BP,GO:0099518,vesicle cytoskeletal trafficking,5.006512411890898,7,4.573834951076724e-4,0.042428461697636526,VAMP7/KIF13A/FNBP1L/SNAPIN/BLOC1S5/MYO5A/MYO1C
BP,GO:0050891,multicellular organismal water homeostasis,4.375439418795406,8,4.637059609692202e-4,0.042428461697636526,CYP26B1/MET/PRKAR2A/ADCY7/ADCY9/CLDN1/ADCY1/GBA
BP,GO:2000045,regulation of G1/S transition of mitotic cell cycle,2.8297678849818118,14,4.6934139046058104e-4,0.042428461697636526,BAX/CDK6/CCND3/CNOT6/CDKN1A/INO80/CDK4/CNOT11/PRMT2/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
MF,GO:0042393,histone binding,2.69497461928934,15,4.945821685317408e-4,0.17186730356477992,KDM7A/ZMYND11/CBX5/ING4/ASF1A/ATAD2B/INO80/RBBP4/PYGO2/DTX3L/RNF168/PHF8/TBL1XR1/SPTY2D1/RCC1
BP,GO:0000077,DNA damage checkpoint,3.077895315290562,12,5.568832238230247e-4,0.04924784683721879,USP28/BAX/THOC5/CNOT6/CDKN1A/TAOK3/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0044774,mitotic DNA integrity checkpoint,3.508607081109524,10,5.726997876001186e-4,0.049415345353687176,BAX/CNOT6/CDKN1A/TAOK3/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0000082,G1/S transition of mitotic cell cycle,2.399434519984578,18,5.830719215774298e-4,0.049415345353687176,BAX/CDK6/CCND3/CNOT6/CDKN1A/INO80/CDK4/CNOT11/PRMT2/CRADD/TRIAP1/KLF11/PHF8/CRLF3/PIDD1/RCC1/CNOT10/CNOT7
BP,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",3.475816360725323,10,6.168837464832428e-4,0.05121394042232309,BAX/ING4/CNOT6/CDKN1A/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
CC,GO:0030014,CCR4-NOT complex,9.078853459191896,4,8.112336920320902e-4,0.052831594193589876,CNOT6/CNOT11/CNOT10/CNOT7
BP,GO:0034330,cell junction organization,2.3084214864679216,18,9.123382423791333e-4,0.07422783939996629,VMP1/PKN2/ITGA6/CDH20/TGFBR1/CAPZA1/GNPAT/RASSF8/MARVELD2/CLDN1/CLASP2/CLDN3/ACTG1/PKP3/APOD/MYO1C/LDB1/CLDN9
CC,GO:0005635,nuclear envelope,1.9957824414602874,24,0.0011188142259557243,0.054596522839498646,BAX/CBX5/HTATIP2/PLCD4/XPO4/CDK4/ANXA7/MTMR6/BNIP2/CMTM3/PSEN2/LBR/PAK1/EIF5A2/WDFY3/RNF180/NSMF/PHF8/AGFG1/BANF1/RCC1/KPNA5/MYO1C/NUP62
BP,GO:0031570,DNA integrity checkpoint,2.8426421701728115,12,0.001123721373361203,0.08806100855874348,USP28/BAX/THOC5/CNOT6/CDKN1A/TAOK3/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0034243,regulation of transcription elongation from RNA polymerase II promoter,6.198539176626826,5,0.0011256569432287762,0.08806100855874348,ZMYND11/ELL/RTF1/HNRNPU/RNF168
BP,GO:0006470,protein dephosphorylation,2.201350361792705,19,0.001167298094058993,0.08836133488466794,PHLPP2/TAB1/MTMR3/PTPMT1/PTPRB/MTMR6/SSH2/DUSP10/BOD1/PTPN14/NSMF/BTRC/PPP1R14A/SDHAF2/MTM1/GBA/PPP1CC/PTPN1/PPP1R14C
BP,GO:1902806,regulation of cell cycle G1/S phase transition,2.577610350676502,14,0.0011729380736902825,0.08836133488466794,BAX/CDK6/CCND3/CNOT6/CDKN1A/INO80/CDK4/CNOT11/PRMT2/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
MF,GO:0004693,cyclin-dependent protein serine/threonine kinase activity,6.102413793103448,5,0.0011954331994288524,0.17912063546302023,CDKL1/CDK6/CCND3/CDK4/CDK5
BP,GO:0044843,cell cycle G1/S phase transition,2.246450439851333,18,0.0012418781169030542,0.09185382144657499,BAX/CDK6/CCND3/CNOT6/CDKN1A/INO80/CDK4/CNOT11/PRMT2/CRADD/TRIAP1/KLF11/PHF8/CRLF3/PIDD1/RCC1/CNOT10/CNOT7
CC,GO:0043296,apical junction complex,2.968086707812735,11,0.0012701370154362022,0.054596522839498646,PKN2/TGFBR1/CYTH1/CDK4/TJAP1/MARVELD2/CLDN1/CLDN3/RAP2B/NHS/CLDN9
CC,GO:0000407,phagophore assembly site,6.0289261252446185,5,0.001294392747486536,0.054596522839498646,VMP1/RAB7A/STX12/TRAPPC8/ATG9B
BP,GO:0016050,vesicle organization,2.174256818878333,19,0.0013478941243907263,0.09791488032181205,ALS2/RAB7A/PLA2G3/EEA1/ANKRD27/SDC1/VAMP4/STX12/VAMP7/VPS4A/KIF13A/FNBP1L/SNAPIN/AGFG1/MCFD2/BLOC1S5/MYO18A/PDCD6/CHMP1B
CC,GO:0005923,bicellular tight junction,3.1370022115093947,10,0.0013759824167826503,0.054596522839498646,TGFBR1/CYTH1/CDK4/TJAP1/MARVELD2/CLDN1/CLDN3/RAP2B/NHS/CLDN9
MF,GO:0097472,cyclin-dependent protein kinase activity,5.899,5,0.0014016143086832667,0.17912063546302023,CDKL1/CDK6/CCND3/CDK4/CDK5
BP,GO:1990182,exosomal secretion,7.82973369679178,4,0.0014517446735670535,0.102968315004862,RAB7A/SDC1/COPS5/VPS4A
BP,GO:0045815,"positive regulation of gene expression, epigenetic",4.13235945108455,7,0.001468083153953293,0.102968315004862,ASF1A/TBP/CD3EAP/ATAD2B/ZMIZ2/PHF8/MYO1C
CC,GO:0030175,filopodium,3.339097546289327,9,0.0015289651956703224,0.054596522839498646,ITGA6/ACTA2/MYO1B/CDK5/INPPL1/MTM1/CBX6/MYO5A/CYFIP1
CC,GO:0030027,lamellipodium,2.598998205286799,13,0.0016241266284541252,0.054596522839498646,ALS2/SNX1/PKN2/ACTA2/KLHL2/PIK3CA/VAMP7/PAK1/CDK5/INPPL1/NHS/PARVA/CYFIP1
CC,GO:0005793,endoplasmic reticulum-Golgi intermediate compartment,3.0623116826639327,10,0.0016499847927667378,0.054596522839498646,VMP1/DDHD2/TMED5/MTMR6/MGAT4B/TRAPPC12/MCFD2/P4HB/MYO18A/TMEM199
BP,GO:0035335,peptidyl-tyrosine dephosphorylation,3.2815795640965555,9,0.001713562907450909,0.11661545287210845,MTMR3/PTPMT1/PTPRB/MTMR6/SSH2/DUSP10/PTPN14/MTM1/PTPN1
BP,GO:0007093,mitotic cell cycle checkpoint,2.704817095255342,12,0.0017199919302670864,0.11661545287210845,CHFR/BAX/CNOT6/CDKN1A/VPS4A/TAOK3/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
MF,GO:0016646,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",7.451368421052631,4,0.0017410060919643617,0.17912063546302023,MTHFD1L/ALDH1L1/QDPR/ALDH4A1
MF,GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",7.451368421052631,4,0.0017410060919643617,0.17912063546302023,GNPTG/CDS1/SGMS2/PIGN
BP,GO:0097734,extracellular exosome biogenesis,7.438247011952191,4,0.0017764693243101759,0.11687028196404849,RAB7A/SDC1/COPS5/VPS4A
BP,GO:0032147,activation of protein kinase activity,2.122022420827202,19,0.0017812088204943476,0.11687028196404849,MAP4K5/TAB1/PRKAG2/TGFBR1/PRKAR2A/ACVR2B/MAPKAP1/ADCY7/PIK3CA/STK26/TAOK3/MAP3K7/PAK1/ADCY9/PRRC1/ADCY1/FRS2/MAP4K2/PTPN1
CC,GO:0016461,unconventional myosin complex,11.575538160469666,3,0.001812741303066762,0.054596522839498646,MYL6B/MYO5A/MYO1C
CC,GO:0070160,tight junction,3.0144630626223092,10,0.0018560471364578958,0.054596522839498646,TGFBR1/CYTH1/CDK4/TJAP1/MARVELD2/CLDN1/CLDN3/RAP2B/NHS/CLDN9
CC,GO:0005819,spindle,2.112730307866702,19,0.0018862522286199148,0.054596522839498646,CAPN6/KLHL42/NUBP2/CEP128/MAPRE1/STAG2/CBX1/INO80/CEP85/DIAPH1/VPS4A/DCTN4/MAPKBP1/BOD1/HNRNPU/CLASP2/TADA3/TBL1XR1/NUP62
BP,GO:0048284,organelle fusion,2.9992931499807223,10,0.0019133511455408656,0.12283056618744319,RAB7A/BAX/EEA1/ANKRD27/VAMP4/STX12/VAMP7/VPS4A/SNAPIN/OMA1
BP,GO:0010948,negative regulation of cell cycle process,2.060456235997837,20,0.0019324376194681328,0.12283056618744319,BAX/CBX5/STAG2/RBBP7/CDK6/CNOT6/CDKN1A/TERF2/VPS4A/TAOK3/CDK4/CNOT11/PRMT2/RBBP4/RYBP/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
BP,GO:0006171,cAMP biosynthetic process,11.157370517928287,3,0.002013767661345219,0.12603087455926695,ADCY7/ADCY9/ADCY1
MF,GO:0004725,protein tyrosine phosphatase activity,3.18546,9,0.0020867370114366025,0.17912063546302023,MTMR3/PTPMT1/PTPRB/MTMR6/SSH2/DUSP10/PTPN14/MTM1/PTPN1
CC,GO:0072686,mitotic spindle,3.1859279340742206,9,0.002118580388413728,0.05798387927391858,MAPRE1/STAG2/DIAPH1/MAPKBP1/HNRNPU/CLASP2/TADA3/TBL1XR1/NUP62
BP,GO:0000075,cell cycle checkpoint,2.4105430131326546,14,0.0022015795424671315,0.13485066654917394,USP28/CHFR/BAX/THOC5/CNOT6/CDKN1A/VPS4A/TAOK3/CNOT11/CRADD/TRIAP1/PIDD1/CNOT10/CNOT7
CC,GO:0000421,autophagosome membrane,5.3590454446618825,5,0.002225868686138909,0.05798387927391858,VMP1/RAB7A/WDFY3/GABARAP/ATG9B
BP,GO:0007041,lysosomal transport,3.157746372998572,9,0.002236454377268163,0.13485066654917394,NEDD4/RAB7A/VAMP7/RBSN/VPS4A/KIF13A/SNAPIN/DTX3L/MTM1
BP,GO:0032801,receptor catabolic process,5.313033579965851,5,0.0022966486621896196,0.13485066654917394,NEDD4/KIF16B/DTX3L/CDK5/PTPN1
BP,GO:0034329,cell junction assembly,2.31480716139591,15,0.0023077552822185028,0.13485066654917394,VMP1/PKN2/ITGA6/CDH20/CAPZA1/GNPAT/MARVELD2/CLDN1/CLASP2/CLDN3/ACTG1/PKP3/APOD/MYO1C/LDB1
MF,GO:0004016,adenylate cyclase activity,10.6182,3,0.002319547797362852,0.17912063546302023,ADCY7/ADCY9/ADCY1
MF,GO:0070513,death domain binding,10.6182,3,0.002319547797362852,0.17912063546302023,BAX/MCL1/CRADD
BP,GO:0016241,regulation of macroautophagy,2.6099112322639266,12,0.0023204391982404563,0.13485066654917394,NEDD4/SESN1/MTMR3/PRKAG2/PIK3CA/MAP3K7/PIP4K2A/PRKAA2/CDK5/MTM1/NUPR1/GBA
BP,GO:0045921,positive regulation of exocytosis,3.381021369069178,8,0.0025297557231403005,0.13800374233227092,RAB7A/SNX4/SDC1/VAMP7/VPS4A/RAB15/CLASP2/CDK5
BP,GO:0140112,extracellular vesicle biogenesis,6.762042738138356,4,0.002570512344235572,0.13800374233227092,RAB7A/SDC1/COPS5/VPS4A
BP,GO:0033762,response to glucagon,5.165449313855689,5,0.002609046953330895,0.13800374233227092,PRKAR2A/ADCY7/QDPR/ADCY9/ADCY1
BP,GO:1902373,negative regulation of mRNA catabolic process,4.291296353049341,6,0.002618502012972626,0.13800374233227092,CIRBP/DHX34/NBAS/HNRNPU/HNRNPA0/PKP3
BP,GO:0016311,dephosphorylation,1.8673423460967844,24,0.0026648914077188786,0.13800374233227092,PHLPP2/SMG6/TAB1/MTMR3/IMPAD1/ELL/PTPMT1/PTPRB/LPIN3/MTMR6/SSH2/DUSP10/BOD1/PTPN14/INPPL1/NSMF/BTRC/PPP1R14A/SDHAF2/MTM1/GBA/PPP1CC/PTPN1/PPP1R14C
BP,GO:0000185,activation of MAPKKK activity,10.143064107207534,3,0.002713937902306213,0.13800374233227092,MAP4K5/TAB1/MAP4K2
BP,GO:0006558,L-phenylalanine metabolic process,10.143064107207534,3,0.002713937902306213,0.13800374233227092,FAH/QDPR/PCBD1
BP,GO:0006559,L-phenylalanine catabolic process,10.143064107207534,3,0.002713937902306213,0.13800374233227092,FAH/QDPR/PCBD1
BP,GO:1902221,erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,10.143064107207534,3,0.002713937902306213,0.13800374233227092,FAH/QDPR/PCBD1
BP,GO:1902222,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,10.143064107207534,3,0.002713937902306213,0.13800374233227092,FAH/QDPR/PCBD1
CC,GO:0005776,autophagosome,3.319150727016392,8,0.0028590424994293486,0.07093148296203289,VMP1/RAB7A/FTL/NRBF2/PIP4K2A/WDFY3/GABARAP/ATG9B
BP,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,5.025842575643373,5,0.0029511213218096416,0.148211870828662,SAMD4A/CNOT6/CNOT11/CNOT10/CNOT7
